datetime,actual_temperature_c,actual_feels_like_c,actual_humidity_pct,actual_dew_point_c,actual_precipitation_mm,actual_rain_mm,actual_weather_code,actual_pressure_hpa,actual_cloud_cover_pct,actual_wind_speed_kmh,actual_wind_direction_deg,actual_wind_gust_kmh,date,hour,city
2026-08-17 00:00:00,25.1,29.1,92,23.7,0.0,0.0,3,1004.7,100,12.7,262,25.9,2026-08-17,0,Raipur
2026-08-17 01:00:00,24.6,28.3,94,23.6,0.4,0.4,51,1004.6,100,14.2,258,27.4,2026-08-17,1,Raipur
2026-08-17 02:00:00,24.4,27.8,96,23.7,0.6,0.6,53,1004.3,100,16.7,253,31.0,2026-08-17,2,Raipur
2026-08-17 03:00:00,24.1,27.9,96,23.5,1.6,1.6,61,1003.9,100,14.0,255,33.1,2026-08-17,3,Raipur
2026-08-17 04:00:00,24.0,27.4,96,23.4,0.6,0.6,53,1004.1,100,15.9,255,30.6,2026-08-17,4,Raipur
2026-08-17 05:00:00,24.2,27.7,97,23.7,1.9,1.9,61,1004.2,100,16.2,253,32.4,2026-08-17,5,Raipur
2026-08-17 06:00:00,24.1,27.6,97,23.6,2.7,2.7,63,1004.7,100,15.9,254,32.4,2026-08-17,6,Raipur
2026-08-17 07:00:00,24.3,28.2,96,23.7,2.7,2.7,63,1005.2,100,13.4,265,30.2,2026-08-17,7,Raipur
2026-08-17 08:00:00,24.7,29.1,96,24.0,2.8,2.8,63,1006.1,100,11.4,265,27.0,2026-08-17,8,Raipur
2026-08-17 09:00:00,25.4,29.9,95,24.5,1.7,1.7,61,1006.3,100,12.7,262,27.4,2026-08-17,9,Raipur
2026-08-17 10:00:00,26.5,30.6,89,24.6,1.0,1.0,55,1006.0,100,15.9,267,33.5,2026-08-17,10,Raipur
2026-08-17 11:00:00,26.4,30.2,87,24.1,0.2,0.2,51,1006.3,100,16.0,262,36.4,2026-08-17,11,Raipur
2026-08-17 12:00:00,27.4,30.7,80,23.6,0.1,0.1,51,1005.8,100,17.0,265,39.6,2026-08-17,12,Raipur
2026-08-17 13:00:00,27.5,31.1,80,23.7,0.1,0.1,51,1004.8,100,16.0,267,38.2,2026-08-17,13,Raipur
2026-08-17 14:00:00,28.9,33.1,75,24.0,0.0,0.0,3,1004.3,100,16.4,279,40.3,2026-08-17,14,Raipur
2026-08-17 15:00:00,28.2,31.9,75,23.4,0.0,0.0,3,1003.7,100,13.8,278,40.0,2026-08-17,15,Raipur
2026-08-17 16:00:00,27.6,32.0,80,23.9,0.2,0.2,51,1003.9,100,10.8,275,31.3,2026-08-17,16,Raipur
2026-08-17 17:00:00,26.6,31.2,87,24.3,0.2,0.2,51,1004.6,100,11.1,256,23.8,2026-08-17,17,Raipur
2026-08-17 18:00:00,26.0,30.8,89,24.1,0.1,0.1,51,1005.0,100,9.3,248,22.3,2026-08-17,18,Raipur
2026-08-17 19:00:00,25.4,29.8,93,24.2,0.8,0.8,53,1006.1,100,12.1,232,22.0,2026-08-17,19,Raipur
2026-08-17 20:00:00,25.1,29.5,95,24.3,0.7,0.7,53,1006.5,100,12.1,237,22.3,2026-08-17,20,Raipur
2026-08-17 21:00:00,25.0,29.7,96,24.3,0.5,0.5,53,1007.4,100,10.9,239,21.6,2026-08-17,21,Raipur
2026-08-17 22:00:00,24.7,28.8,96,24.1,0.9,0.9,53,1007.4,100,14.0,248,25.2,2026-08-17,22,Raipur
2026-08-17 23:00:00,24.4,28.0,96,23.6,0.9,0.9,53,1006.6,100,15.3,255,29.2,2026-08-17,23,Raipur
2026-08-18 00:00:00,24.3,27.9,96,23.7,0.5,0.5,53,1006.2,100,15.6,259,28.8,2026-08-18,0,Raipur
2026-08-18 01:00:00,24.3,28.2,97,23.8,0.5,0.5,53,1005.8,100,14.2,258,28.8,2026-08-18,1,Raipur
2026-08-18 02:00:00,24.2,28.0,96,23.6,1.4,1.4,61,1005.6,100,13.8,257,27.0,2026-08-18,2,Raipur
2026-08-18 03:00:00,24.2,28.1,96,23.6,0.5,0.5,53,1005.5,100,13.1,252,25.9,2026-08-18,3,Raipur
2026-08-18 04:00:00,24.2,28.3,96,23.6,0.8,0.8,53,1005.5,100,12.3,247,24.1,2026-08-18,4,Raipur
2026-08-18 05:00:00,24.4,28.4,96,23.7,0.7,0.7,53,1005.2,100,13.2,259,24.8,2026-08-18,5,Raipur
2026-08-18 06:00:00,24.5,28.1,94,23.5,0.1,0.1,51,1005.7,100,14.4,261,27.4,2026-08-18,6,Raipur
2026-08-18 07:00:00,24.8,28.6,93,23.6,0.0,0.0,3,1006.1,100,14.1,260,28.1,2026-08-18,7,Raipur
2026-08-18 08:00:00,25.9,29.8,87,23.6,0.0,0.0,3,1006.4,100,13.4,262,34.9,2026-08-18,8,Raipur
2026-08-18 09:00:00,26.4,30.1,84,23.5,0.0,0.0,3,1007.0,100,14.6,266,32.4,2026-08-18,9,Raipur
2026-08-18 10:00:00,26.8,31.1,83,23.8,0.1,0.1,51,1007.2,100,11.4,265,33.1,2026-08-18,10,Raipur
2026-08-18 11:00:00,26.6,30.3,80,22.9,0.3,0.3,51,1007.2,100,11.5,262,27.4,2026-08-18,11,Raipur
2026-08-18 12:00:00,25.8,30.1,90,24.1,1.3,1.3,61,1006.7,100,12.6,272,27.7,2026-08-18,12,Raipur
2026-08-18 13:00:00,26.4,30.7,87,24.1,0.6,0.6,53,1005.8,100,12.5,259,28.4,2026-08-18,13,Raipur
2026-08-18 14:00:00,26.7,30.9,86,24.1,0.4,0.4,51,1004.8,100,13.1,257,29.2,2026-08-18,14,Raipur
2026-08-18 15:00:00,26.0,30.7,92,24.6,0.7,0.7,53,1004.3,100,12.1,255,29.2,2026-08-18,15,Raipur
2026-08-18 16:00:00,25.5,30.2,95,24.7,0.9,0.9,53,1003.8,100,12.5,247,24.1,2026-08-18,16,Raipur
2026-08-18 17:00:00,25.7,30.0,91,24.0,0.7,0.7,53,1003.9,100,12.2,246,23.4,2026-08-18,17,Raipur
2026-08-18 18:00:00,25.0,29.1,94,23.9,0.5,0.5,53,1004.7,100,12.6,250,24.1,2026-08-18,18,Raipur
2026-08-18 19:00:00,24.7,28.9,96,24.0,0.4,0.4,51,1005.1,100,13.0,243,24.8,2026-08-18,19,Raipur
2026-08-18 20:00:00,24.7,28.8,96,24.0,0.4,0.4,51,1005.6,100,13.5,249,25.2,2026-08-18,20,Raipur
2026-08-18 21:00:00,24.6,28.7,96,24.0,0.7,0.7,53,1006.2,100,13.9,251,25.9,2026-08-18,21,Raipur
2026-08-18 22:00:00,24.5,28.6,96,23.9,0.7,0.7,53,1006.3,100,13.3,249,25.9,2026-08-18,22,Raipur
2026-08-18 23:00:00,24.6,28.7,96,24.0,0.8,0.8,53,1005.8,100,13.2,244,24.8,2026-08-18,23,Raipur
2026-08-19 00:00:00,24.5,28.5,97,23.9,0.5,0.5,53,1005.4,100,13.5,243,25.2,2026-08-19,0,Raipur
2026-08-19 01:00:00,24.3,28.2,97,23.8,0.1,0.1,51,1004.9,100,14.3,245,26.6,2026-08-19,1,Raipur
2026-08-19 02:00:00,24.3,28.0,97,23.7,0.4,0.4,51,1004.4,100,15.0,249,28.1,2026-08-19,2,Raipur
2026-08-19 03:00:00,24.2,27.8,96,23.6,0.5,0.5,53,1004.1,100,15.2,251,28.8,2026-08-19,3,Raipur
2026-08-19 04:00:00,24.2,27.7,96,23.6,0.4,0.4,51,1004.4,100,15.5,252,28.8,2026-08-19,4,Raipur
2026-08-19 05:00:00,24.6,28.4,96,23.9,0.6,0.6,53,1003.9,100,15.0,253,29.2,2026-08-19,5,Raipur
2026-08-19 06:00:00,24.4,28.2,95,23.6,0.1,0.1,51,1004.3,95,13.8,252,29.2,2026-08-19,6,Raipur
2026-08-19 07:00:00,24.3,28.0,97,23.8,2.5,2.5,63,1005.1,100,15.1,241,28.1,2026-08-19,7,Raipur
2026-08-19 08:00:00,25.2,29.3,94,24.2,0.6,0.6,53,1005.1,97,14.7,248,31.0,2026-08-19,8,Raipur
2026-08-19 09:00:00,27.2,31.9,88,25.0,0.1,0.1,51,1005.3,99,13.5,249,31.7,2026-08-19,9,Raipur
2026-08-19 10:00:00,28.5,32.6,79,24.6,0.1,0.1,51,1005.4,100,15.8,263,38.2,2026-08-19,10,Raipur
2026-08-19 11:00:00,27.8,31.5,77,23.4,0.1,0.1,51,1005.4,100,14.6,280,41.8,2026-08-19,11,Raipur
2026-08-19 12:00:00,27.3,31.4,82,24.0,1.0,1.0,55,1005.2,100,13.6,262,39.2,2026-08-19,12,Raipur
2026-08-19 13:00:00,26.8,30.2,82,23.4,0.8,0.8,53,1004.6,100,15.7,265,38.5,2026-08-19,13,Raipur
2026-08-19 14:00:00,26.8,30.2,84,23.8,0.4,0.4,51,1003.8,50,17.2,264,38.5,2026-08-19,14,Raipur
2026-08-19 15:00:00,27.8,31.3,80,24.1,0.1,0.1,51,1003.0,18,17.5,265,40.0,2026-08-19,15,Raipur
