forecast_generated_at,forecast_for,lead_hours,city,forecast_temperature_c,forecast_rain_probability_pct,forecast_precipitation_mm,forecast_weather_code
2026-08-27 17:17:17.823606,2026-08-27 17:00:00,-0.288284335,Raipur,26.1,90,1.2,55
2026-08-27 17:17:17.823606,2026-08-27 18:00:00,0.711715665,Raipur,25.9,94,0.6,53
2026-08-27 17:17:17.823606,2026-08-27 19:00:00,1.711715665,Raipur,25.6,99,0.4,51
2026-08-27 17:17:17.823606,2026-08-27 20:00:00,2.711715665,Raipur,25.3,98,0.2,51
2026-08-27 17:17:17.823606,2026-08-27 21:00:00,3.711715665,Raipur,25.2,84,0.2,51
2026-08-27 17:17:17.823606,2026-08-27 22:00:00,4.711715665,Raipur,25.1,65,0.1,51
2026-08-27 17:17:17.823606,2026-08-27 23:00:00,5.711715665,Raipur,25.0,49,0.1,51
2026-08-27 17:17:17.823606,2026-08-28 00:00:00,6.711715665,Raipur,24.9,43,0.1,51
2026-08-27 17:17:17.823606,2026-08-28 01:00:00,7.711715665,Raipur,24.9,41,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 02:00:00,8.711715665,Raipur,24.6,39,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 03:00:00,9.711715665,Raipur,24.6,35,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 04:00:00,10.711715665,Raipur,24.7,30,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 05:00:00,11.711715665,Raipur,24.5,27,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 06:00:00,12.711715665,Raipur,24.7,24,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 07:00:00,13.711715665,Raipur,25.8,23,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 08:00:00,14.711715665,Raipur,26.9,24,0.0,2
2026-08-27 17:17:17.823606,2026-08-28 09:00:00,15.711715665,Raipur,28.2,30,0.0,2
2026-08-27 17:17:17.823606,2026-08-28 10:00:00,16.711715665,Raipur,29.2,38,0.0,1
2026-08-27 17:17:17.823606,2026-08-28 11:00:00,17.711715665,Raipur,29.7,47,0.3,51
2026-08-27 17:17:17.823606,2026-08-28 12:00:00,18.711715665,Raipur,30.6,56,0.1,51
2026-08-27 17:17:17.823606,2026-08-28 13:00:00,19.711715665,Raipur,30.9,65,0.0,1
2026-08-27 17:17:17.823606,2026-08-28 14:00:00,20.711715665,Raipur,31.2,73,0.1,51
2026-08-27 17:17:17.823606,2026-08-28 15:00:00,21.711715665,Raipur,29.0,78,1.6,95
2026-08-27 17:17:17.823606,2026-08-28 16:00:00,22.711715665,Raipur,28.7,82,0.7,53
2026-08-27 17:17:17.823606,2026-08-28 17:00:00,23.711715665,Raipur,27.8,82,0.8,95
2026-08-27 17:17:17.823606,2026-08-28 18:00:00,24.711715665,Raipur,24.9,77,6.1,95
2026-08-27 17:17:17.823606,2026-08-28 19:00:00,25.711715665,Raipur,25.7,68,1.5,80
2026-08-27 17:17:17.823606,2026-08-28 20:00:00,26.711715665,Raipur,25.3,59,0.5,53
2026-08-27 17:17:17.823606,2026-08-28 21:00:00,27.711715665,Raipur,25.1,52,0.1,51
2026-08-27 17:17:17.823606,2026-08-28 22:00:00,28.711715665,Raipur,24.9,45,0.0,3
2026-08-27 17:17:17.823606,2026-08-28 23:00:00,29.711715665,Raipur,24.9,39,0.0,3
2026-08-27 17:17:17.823606,2026-08-29 00:00:00,30.711715665,Raipur,25.0,36,0.0,3
2026-08-27 17:17:17.823606,2026-08-29 01:00:00,31.711715665,Raipur,24.8,34,0.0,3
2026-08-27 17:17:17.823606,2026-08-29 02:00:00,32.711715665,Raipur,24.8,33,0.0,3
2026-08-27 17:17:17.823606,2026-08-29 03:00:00,33.711715665,Raipur,24.6,34,0.3,51
2026-08-27 17:17:17.823606,2026-08-29 04:00:00,34.711715665,Raipur,24.7,36,0.3,51
2026-08-27 17:17:17.823606,2026-08-29 05:00:00,35.711715665,Raipur,24.8,39,0.5,53
2026-08-27 17:17:17.823606,2026-08-29 06:00:00,36.711715665,Raipur,24.7,43,0.5,53
2026-08-27 17:17:17.823606,2026-08-29 07:00:00,37.711715665,Raipur,24.9,49,3.3,95
2026-08-27 17:17:17.823606,2026-08-29 08:00:00,38.711715665,Raipur,25.5,55,2.7,95
2026-08-27 17:17:17.823606,2026-08-29 09:00:00,39.711715665,Raipur,26.6,62,1.1,95
2026-08-27 17:17:17.823606,2026-08-29 10:00:00,40.711715665,Raipur,27.0,70,0.5,95
2026-08-27 17:17:17.823606,2026-08-29 11:00:00,41.711715665,Raipur,27.2,75,0.6,95
2026-08-27 17:17:17.823606,2026-08-29 12:00:00,42.711715665,Raipur,26.7,77,5.0,96
2026-08-27 17:17:17.823606,2026-08-29 13:00:00,43.711715665,Raipur,27.5,76,4.2,96
2026-08-27 17:17:17.823606,2026-08-29 14:00:00,44.711715665,Raipur,27.4,76,2.4,95
2026-08-27 17:17:17.823606,2026-08-29 15:00:00,45.711715665,Raipur,27.3,78,0.7,53
2026-08-27 17:17:17.823606,2026-08-29 16:00:00,46.711715665,Raipur,27.0,81,0.7,53
2026-08-27 17:17:17.823606,2026-08-29 17:00:00,47.711715665,Raipur,26.1,82,1.7,80
2026-08-27 17:17:17.823606,2026-08-29 18:00:00,48.711715665,Raipur,25.5,78,1.4,80
2026-08-27 17:17:17.823606,2026-08-29 19:00:00,49.711715665,Raipur,25.3,72,3.3,95
2026-08-27 17:17:17.823606,2026-08-29 20:00:00,50.711715665,Raipur,25.3,67,2.6,95
