datetime,date,hour,city,latitude,longitude,data_type,temperature_c,feels_like_c,humidity_pct,dew_point_c,rain_probability_pct,precipitation_mm,rain_mm,weather_code,pressure_hpa,cloud_cover_pct,wind_speed_kmh,wind_direction_deg,wind_gust_kmh,uv_index
2026-08-17 00:00:00,2026-08-17,0,Raipur,21.2514,81.6296,Historical,25.1,29.1,92,23.7,36,0.0,0.0,3,1004.7,100,12.7,262,25.9,0.0
2026-08-17 01:00:00,2026-08-17,1,Raipur,21.2514,81.6296,Historical,24.6,28.3,94,23.6,58,0.4,0.3,51,1004.6,100,14.2,258,27.4,0.0
2026-08-17 02:00:00,2026-08-17,2,Raipur,21.2514,81.6296,Historical,24.4,27.8,96,23.7,76,0.6,0.5,53,1004.3,100,16.7,253,31.0,0.0
2026-08-17 03:00:00,2026-08-17,3,Raipur,21.2514,81.6296,Historical,24.1,27.9,96,23.5,84,1.6,0.4,80,1003.9,100,14.0,255,33.1,0.0
2026-08-17 04:00:00,2026-08-17,4,Raipur,21.2514,81.6296,Historical,24.0,27.4,96,23.4,88,0.6,0.3,53,1004.1,100,15.9,255,30.6,0.0
2026-08-17 05:00:00,2026-08-17,5,Raipur,21.2514,81.6296,Historical,24.2,27.7,97,23.7,90,1.9,0.3,80,1004.2,100,16.2,253,32.4,0.0
2026-08-17 06:00:00,2026-08-17,6,Raipur,21.2514,81.6296,Historical,24.1,27.6,97,23.6,92,2.7,0.0,95,1004.7,100,15.9,254,32.4,0.05
2026-08-17 07:00:00,2026-08-17,7,Raipur,21.2514,81.6296,Historical,24.3,28.2,96,23.7,93,2.7,0.0,95,1005.2,100,13.4,265,30.2,0.3
2026-08-17 08:00:00,2026-08-17,8,Raipur,21.2514,81.6296,Historical,24.7,29.1,96,24.0,94,2.8,0.7,95,1006.1,100,11.4,265,27.0,0.5
2026-08-17 09:00:00,2026-08-17,9,Raipur,21.2514,81.6296,Historical,25.4,29.9,95,24.5,94,1.7,1.6,80,1006.3,100,12.7,262,27.4,1.0
2026-08-17 10:00:00,2026-08-17,10,Raipur,21.2514,81.6296,Historical,26.5,30.6,89,24.6,93,1.0,0.7,55,1006.0,100,15.9,267,33.5,0.85
2026-08-17 11:00:00,2026-08-17,11,Raipur,21.2514,81.6296,Historical,26.4,30.2,87,24.1,92,0.2,0.1,51,1006.3,100,16.0,262,36.4,1.15
2026-08-17 12:00:00,2026-08-17,12,Raipur,21.2514,81.6296,Historical,27.4,30.7,80,23.6,92,0.1,0.1,51,1005.8,100,17.0,265,39.6,2.55
2026-08-17 13:00:00,2026-08-17,13,Raipur,21.2514,81.6296,Historical,27.5,31.1,80,23.7,93,0.1,0.1,51,1004.8,100,16.0,267,38.2,1.85
2026-08-17 14:00:00,2026-08-17,14,Raipur,21.2514,81.6296,Historical,28.9,33.1,75,24.0,92,0.0,0.0,3,1004.3,100,16.4,279,40.3,2.3
2026-08-17 15:00:00,2026-08-17,15,Raipur,21.2514,81.6296,Historical,28.2,31.9,75,23.4,90,0.0,0.0,3,1003.7,100,13.8,278,40.0,2.55
2026-08-17 16:00:00,2026-08-17,16,Raipur,21.2514,81.6296,Historical,27.6,32.0,80,23.9,86,0.2,0.2,51,1003.9,100,10.8,275,31.3,1.5
2026-08-17 17:00:00,2026-08-17,17,Raipur,21.2514,81.6296,Historical,26.6,31.2,87,24.3,84,0.2,0.2,51,1004.6,100,11.1,256,23.8,0.65
2026-08-17 18:00:00,2026-08-17,18,Raipur,21.2514,81.6296,Historical,26.0,30.8,89,24.1,84,0.1,0.1,51,1005.0,100,9.3,248,22.3,0.1
2026-08-17 19:00:00,2026-08-17,19,Raipur,21.2514,81.6296,Historical,25.4,29.8,93,24.2,85,0.8,0.5,53,1006.1,100,12.1,232,22.0,0.0
2026-08-17 20:00:00,2026-08-17,20,Raipur,21.2514,81.6296,Historical,25.1,29.5,95,24.3,86,0.7,0.5,53,1006.5,100,12.1,237,22.3,0.0
2026-08-17 21:00:00,2026-08-17,21,Raipur,21.2514,81.6296,Historical,25.0,29.7,96,24.3,88,0.5,0.2,53,1007.4,100,10.9,239,21.6,0.0
2026-08-17 22:00:00,2026-08-17,22,Raipur,21.2514,81.6296,Historical,24.7,28.8,96,24.1,91,0.9,0.3,53,1007.4,100,14.0,248,25.2,0.0
2026-08-17 23:00:00,2026-08-17,23,Raipur,21.2514,81.6296,Historical,24.4,28.0,96,23.6,94,0.9,0.4,53,1006.6,100,15.3,255,29.2,0.0
2026-08-18 00:00:00,2026-08-18,0,Raipur,21.2514,81.6296,Historical,24.3,27.9,96,23.7,96,0.5,0.4,53,1006.2,100,15.6,259,28.8,0.0
2026-08-18 01:00:00,2026-08-18,1,Raipur,21.2514,81.6296,Historical,24.3,28.2,97,23.8,99,0.5,0.2,53,1005.8,100,14.2,258,28.8,0.0
2026-08-18 02:00:00,2026-08-18,2,Raipur,21.2514,81.6296,Historical,24.2,28.0,96,23.6,100,1.4,0.8,80,1005.6,100,13.8,257,27.0,0.0
2026-08-18 03:00:00,2026-08-18,3,Raipur,21.2514,81.6296,Historical,24.2,28.1,96,23.6,100,0.5,0.3,53,1005.5,100,13.1,252,25.9,0.0
2026-08-18 04:00:00,2026-08-18,4,Raipur,21.2514,81.6296,Historical,24.2,28.3,96,23.6,100,0.8,0.5,53,1005.5,100,12.3,247,24.1,0.0
2026-08-18 05:00:00,2026-08-18,5,Raipur,21.2514,81.6296,Historical,24.4,28.4,96,23.7,100,0.7,0.5,53,1005.2,100,13.2,259,24.8,0.0
2026-08-18 06:00:00,2026-08-18,6,Raipur,21.2514,81.6296,Historical,24.5,28.1,94,23.5,92,0.1,0.1,51,1005.7,100,14.4,261,27.4,0.0
2026-08-18 07:00:00,2026-08-18,7,Raipur,21.2514,81.6296,Historical,24.8,28.6,93,23.6,82,0.0,0.0,3,1006.1,100,14.1,260,28.1,0.15
2026-08-18 08:00:00,2026-08-18,8,Raipur,21.2514,81.6296,Historical,25.9,29.8,87,23.6,76,0.0,0.0,3,1006.4,100,13.4,262,34.9,0.35
2026-08-18 09:00:00,2026-08-18,9,Raipur,21.2514,81.6296,Historical,26.4,30.1,84,23.5,79,0.0,0.0,3,1007.0,100,14.6,266,32.4,0.35
2026-08-18 10:00:00,2026-08-18,10,Raipur,21.2514,81.6296,Historical,26.8,31.1,83,23.8,87,0.1,0.1,51,1007.2,100,11.4,265,33.1,0.5
2026-08-18 11:00:00,2026-08-18,11,Raipur,21.2514,81.6296,Historical,26.6,30.3,80,22.9,94,0.3,0.1,51,1007.2,100,11.5,262,27.4,0.8
2026-08-18 12:00:00,2026-08-18,12,Raipur,21.2514,81.6296,Historical,25.8,30.1,90,24.1,97,1.3,1.2,80,1006.7,100,12.6,272,27.7,0.75
2026-08-18 13:00:00,2026-08-18,13,Raipur,21.2514,81.6296,Historical,26.4,30.7,87,24.1,99,0.6,0.5,53,1005.8,100,12.5,259,28.4,1.1
2026-08-18 14:00:00,2026-08-18,14,Raipur,21.2514,81.6296,Historical,26.7,30.9,86,24.1,100,0.4,0.4,51,1004.8,100,13.1,257,29.2,1.35
2026-08-18 15:00:00,2026-08-18,15,Raipur,21.2514,81.6296,Historical,26.0,30.7,92,24.6,100,0.7,0.7,53,1004.3,100,12.1,255,29.2,0.5
2026-08-18 16:00:00,2026-08-18,16,Raipur,21.2514,81.6296,Historical,25.5,30.2,95,24.7,99,0.9,0.9,53,1003.8,100,12.5,247,24.1,0.4
2026-08-18 17:00:00,2026-08-18,17,Raipur,21.2514,81.6296,Historical,25.7,30.0,91,24.0,98,0.7,0.7,53,1003.9,100,12.2,246,23.4,0.1
2026-08-18 18:00:00,2026-08-18,18,Raipur,21.2514,81.6296,Historical,25.0,29.1,94,23.9,98,0.5,0.5,53,1004.7,100,12.6,250,24.1,0.05
